,Unnamed: 0,tconst,id,originalTitle,titreVF,original_language,production_countries,keywords,genres,anneeSortie,release_date,duree,budget,revenue,popularity,noteMoyenne,nbVotes
759,2774,tt0059592,2786,Pierrot le Fou,Pierrot le fou,fr,"France, Italy","paris, france, mediterranean, painting, road trip, money, bombing, dock, french noir","Crime,Drame,Romance,Thriller",1965,1965-11-05,110,300000.0,0.0,15.797,7.4,38486
761,2779,tt0059616,48764,Procès de Jeanne d'Arc,Procès de Jeanne d'Arc,fr,France,"warrior woman, based on true story, historical figure, trial, hundred years' war, young woman, religious fundamentalism, martyrdom, french court, witch hunt, political corruption, joan of arc, 15th century, medieval france, medieval history","Biographie,Drame,Histoire",1962,1963-02-13,64,0.0,0.0,7.61,7.4,6221
794,2881,tt0059831,61765,Les tribulations d'un Chinois en Chine,Les tribulations d'un Chinois en Chine,fr,"France, Italy",,"Action,Aventure,Comédie",1965,1965-12-04,104,0.0,0.0,8.755,6.2,2488
797,2906,tt0059872,4194,La vie de château,La vie de château,fr,France,"france, resistance, world war ii, invasion","Comédie,Drame,Romance",1966,1966-01-25,93,0.0,0.0,3.623,6.8,1181
806,2926,tt0059934,90228,Yoyo,Yoyo,fr,France,"elephant, clown, great depression, traveling circus, silent film, stock market crash, child actor, loss of fortune, circus animal","Comédie,Drame,Famille",1965,1965-02-19,92,0.0,0.0,3.588,7.5,1777
808,2933,tt0059956,11799,Viva Maria!,Viva Maria!,fr,"France, Italy","circus, revolution, striptease, artist, spaghetti western","Aventure,Comédie,Romance,Western",1965,1965-11-22,119,0.0,0.0,8.183,6.3,4167
826,2982,tt0060138,20108,Au Hasard Balthazar,Au hasard Balthazar,fr,"France, Sweden","suicide, rape, misery, donkey, gang leader, youth gang, cruelty, burden, beast of burden, transcendence, purity, pride, french countryside, animal cruelty, riding a donkey, abusive boyfriend, peasants",Drame,1966,1966-05-25,95,0.0,39388.0,13.129,7.7,23762
843,3033,tt0060263,53026,Les créatures,Les créatures,fr,"France, Sweden",woman director,"Drame,Fantastique,Mystère",1966,1966-09-03,92,0.0,0.0,1.918,6.4,1379
849,3051,tt0060304,8074,2 ou 3 choses que je sais d'elle,2 ou 3 choses que je sais d'elle,fr,France,"vietnam war, prostitute, coffee, housewife, prostitution, essay film, nursery, quotation","Comédie,Drame",1967,1967-03-17,87,0.0,0.0,10.596,6.5,8871
850,3053,tt0060305,25047,Le deuxième souffle,Le deuxième souffle,fr,France,"prison, robbery, paris, france, cop-killer, gangster, french noir","Action,Crime,Drame",1966,1966-11-01,150,0.0,0.0,8.353,7.9,7076
858,3088,tt0060400,1875,Fantômas contre Scotland Yard,Fantômas contre Scotland Yard,fr,"France, Italy","mask, police, scotland, blackmail, gadget, castle, police operation, hangman, sequel, lord, criminal, millionaire","Aventure,Comédie,Crime,Fantastique",1967,1967-03-16,100,0.0,0.0,11.924,6.7,8253
869,3115,tt0060450,4728,Le gendarme à New York,Le Gendarme à New York,fr,France,"new york city, police, psychoanalysis, conference, ocean liner, gendarmerie, saint-tropez, france, disguise, little italy, father daughter conflict","Comédie,Crime",1965,1965-10-28,102,0.0,0.0,13.022,6.4,8733
874,3127,tt0060474,8290,La grande vadrouille,La Grande Vadrouille,fr,"France, United Kingdom","opera, paris, france, general, world war ii, conductor, bomber, paratroops, french resistance, british soldier, nazi occupation, house painter, 1940s, occupied france, royal air force","Aventure,Comédie,Guerre",1966,1966-12-08,132,0.0,0.0,19.044,7.9,21081
875,3128,tt0060475,11696,Les grandes vacances,Les Grandes Vacances,fr,"France, Italy","paris, france, scotland, holiday, seine, principal, barge, wedding plans, 1960s","Aventure,Comédie",1967,1967-12-01,84,0.0,0.0,8.118,6.5,3902
877,3130,tt0060481,4781,La guerre est finie,La guerre est finie,fr,"Sweden, France","spain, paris, france, franco regime (francoism), terrorist group, communist infiltrator, 1960s, anti-fascism, post spanish civil war, exiled spanish republican, clandestine life","Drame,Guerre",1966,1966-05-11,121,0.0,0.0,4.676,7.3,2550
892,3213,tt0060647,29369,Made in USA,Made in U.S.A,fr,France,,"Comédie,Crime,Mystère",1966,1967-01-27,90,50000.0,0.0,9.294,6.2,4747
