,Unnamed: 0,tconst,id,originalTitle,titreVF,original_language,production_countries,keywords,genres,anneeSortie,release_date,duree,budget,revenue,popularity,noteMoyenne,nbVotes
24329,43294,tt15132378,856363,"Mizrahim, les oubliés de la Terre Promise","Mizrahim, les oubliés de la Terre Promise",fr,"France, Israel",,Documentaire,2021,2022-06-08,93,0.0,0.0,0.746,6.9,49
24330,43297,tt15132738,866631,Pénélope mon amour,Pénélope mon amour,fr,France,,Documentaire,2021,2022-10-12,88,0.0,0.0,0.644,6.9,27
24331,43321,tt15153138,956877,La page blanche,La page blanche,fr,France,,"Comédie,Fantastique,Romance",2022,2022-08-31,100,2800000.0,0.0,4.043,6.0,385
24332,43323,tt15153914,894431,Rosy,Rosy,fr,France,,Documentaire,2021,2022-01-05,90,0.0,0.0,0.6,7.1,65
24333,43324,tt15153996,889893,La disparition?,La dipsarition,fr,,,Documentaire,2021,2022-02-09,85,0.0,0.0,0.6,6.3,29
24334,43333,tt15166808,892504,Tant que le soleil frappe,Maintenant,fr,France,,Drame,2022,2023-02-08,85,2000000.0,0.0,1.155,5.7,111
24335,43335,tt15167162,892503,Les volets verts,Les volets verts,fr,France,based on novel or book,Drame,2022,2022-08-24,98,6200000.0,0.0,3.963,5.7,307
24336,43338,tt15170082,818608,Debout les femmes!,Debout les femmes!,fr,France,"feminism, working women, social bond professions",Documentaire,2021,2021-08-27,85,0.0,0.0,0.908,7.3,120
24337,43339,tt15170560,960570,Reprise en main,Reprise en main,fr,France,,"Comédie,Drame",2022,2022-10-19,106,2300000.0,0.0,1.747,6.3,184
24338,43346,tt1517265,491124,Une affaire de nègres,Les disparus de Douala,fr,"Cameroon, France",political repression,Documentaire,2008,2009-09-23,90,0.0,0.0,0.6,6.3,9
24339,43350,tt15173948,740844,Le trésor du petit Nicolas,Le Trésor du Petit Nicolas,fr,"Belgium, France",,"Comédie,Famille",2021,2021-09-09,103,0.0,5843307.0,34.516,5.7,429
24340,43360,tt15180326,829052,La Diplomatie du caviar,La Diplomatie du caviar,fr,France,,"Documentaire,Thriller",2021,2021-07-28,86,0.0,0.0,0.725,7.8,94
24341,43363,tt15183366,862377,Boys Feels: I Love Trouble,Boys Feels: I Love Trouble,fr,United States of America,"coming of age, short compilation","Crime,Drame",2021,2021-08-13,97,0.0,0.0,0.942,8.0,10
24342,43371,tt1519408,348459,The Cambodian Room: Situations with Antoine D'Agata,La chambre cambodgienne,fr,"Cambodia, France, Italy",,"Biographie,Documentaire",2009,2009-11-29,56,0.0,0.0,0.6,7.2,36
24343,43377,tt15198986,868997,Tu choisiras la vie,Tu choisiras la vie,fr,"France, Italy",,Drame,2022,2022-06-16,99,0.0,0.0,2.939,6.1,264
24344,43380,tt1520367,85474,Ne change rien,Ne change rien,fr,"France, Portugal",based on short film,"Documentaire,Musique",2009,2009-11-19,100,0.0,0.0,1.163,7.1,378
24345,43383,tt1520487,284263,L'absence,L'absence,fr,,,Drame,2009,2014-01-22,82,0.0,0.0,0.844,7.2,31
24346,43386,tt1520863,58497,Divorces!,Divorces,fr,France,woman director,"Comédie,Drame,Romance",2009,2009-10-14,100,0.0,0.0,1.63,5.2,266
24347,43406,tt1521874,46675,Les meilleurs amis du monde,Les Meilleurs Amis du monde,fr,France,,Comédie,2010,2010-06-09,94,0.0,0.0,3.132,5.4,452
24348,43436,tt15242370,861589,Guermantes,Guermantes,fr,France,covid-19,"Comédie,Drame,Romance",2021,2021-09-29,139,0.0,0.0,2.009,5.5,195
24349,43445,tt1524565,93833,Nos résistances,Nos résistances,fr,France,"world war ii, french resistance, 1940s, war","Drame,Guerre,Histoire,Romance",2011,2011-01-05,86,2637436.0,0.0,1.793,6.0,29
24350,43466,tt15258736,928268,In Vino Veritas,In Vino Veritas - Une belle histoire,fr,,,"Comédie,Romance",2021,2021-10-24,63,0.0,0.0,0.6,7.8,7
24351,43472,tt15261064,872160,Lucie perd son cheval,Lucie perd son cheval,fr,,,Drame,2021,2021-09-07,81,0.0,0.0,0.645,5.4,42
24352,43477,tt1526332,110962,La Fin du silence,La Fin du silence,fr,"Austria, France",,"Drame,Mystère,Thriller",2011,2011-12-07,80,0.0,0.0,1.443,5.4,131
24353,43482,tt15269862,1178850,Belle enfant,Belle enfant,fr,,,"Comédie,Drame",2024,,102,0.0,0.0,0.6,5.7,51
24354,43496,tt15281990,1003491,Les poings serrés,Les Poings Serrés,fr,Belgium,,Drame,2023,2023-10-04,86,0.0,0.0,10.886,6.7,54
24355,43498,tt1528224,64074,Deux de la Vague,Deux de la Vague,fr,France,,Documentaire,2010,2010-05-19,91,0.0,0.0,2.178,6.8,885
24356,43503,tt1528717,264453,Bazar,Bazar,fr,"France, Switzerland",,Drame,2009,2009-12-02,103,0.0,0.0,1.4,5.8,66
24357,43518,tt15289702,843427,Coeurs vaillants,Coeurs vaillants,fr,"Belgium, France","holocaust (shoah), world war ii, based on true story, female protagonist, woman director, jewish refugee, 1940s, jewish child","Drame,Histoire",2021,2022-05-11,92,0.0,0.0,2.887,5.3,109
24358,43532,tt15293636,458955,Rupture,Rupture,fr,,,,1989,1989-11-01,85,0.0,0.0,1.576,5.6,11
24359,43546,tt15300972,845737,Prism,Prism,fr,"Belgium, Cameroon",,Documentaire,2021,2021-09-26,78,0.0,0.0,0.6,7.0,19
24360,43561,tt15310512,872699,Nadia,Nadia,fr,France,,"Biographie,Documentaire",2021,2021-10-06,90,0.0,0.0,0.96,6.5,25
24361,43572,tt1532266,72848,Le mariage à trois,Aux quatre vents,fr,France,,Drame,2010,2010-04-21,104,0.0,0.0,1.594,5.3,264
24362,43577,tt1532530,86815,La folie Almayer,La Folie Almayer,fr,"Belgium, France","based on novel or book, woman director",Drame,2011,2012-01-25,127,0.0,0.0,1.764,6.4,891
24363,43616,tt15339966,604751,Très belle journée,Très belle journée,fr,Canada,,Drame,2022,2022-05-06,75,0.0,0.0,1.288,5.6,62
24364,43631,tt15348042,876270,L'indivision,L'indivision,fr,,,Drame,2021,2021-09-01,93,0.0,0.0,0.691,7.0,14
24365,43633,tt1535103,48009,Loup,Loup,fr,France,,"Aventure,Drame",2009,2009-12-09,102,0.0,0.0,3.468,6.4,658
24366,43668,tt15368672,577635,Kha. Les Embaumées,Kha. Les Embaumées,fr,France,,,1979,1979-01-01,60,0.0,0.0,0.6,7.8,5
24367,43669,tt15372110,892502,Une comédie romantique,Une Comédie Romantique,fr,France,,"Comédie,Drame,Romance",2022,2022-11-16,98,0.0,0.0,2.768,5.4,208
24368,43676,tt15377036,860469,Les cadors,Les cadors,fr,France,,"Comédie,Drame",2022,2023-01-11,85,0.0,0.0,1.944,5.1,199
24369,43687,tt15385664,944306,En plein feu,En plein feu,fr,"Belgium, France",,"Action,Drame,Thriller",2022,2023-03-08,85,0.0,0.0,6.658,5.3,273
24370,43694,tt15389042,959395,La nouvelle femme,La nouvelle femme,fr,"France, Italy",teachers and students,"Biographie,Drame,Histoire",2023,2024-03-13,100,3600000.0,0.0,1.96,6.8,874
24371,43728,tt15411636,892499,La fille et le garçon,La fille et le garçon,fr,France,,Romance,2022,2023-04-21,84,0.0,0.0,0.6,5.2,24
24372,43749,tt15427754,937109,L'énergie positive des dieux,L'énergie positive des dieux,fr,France,,"Documentaire,Musique",2021,2022-09-14,70,0.0,0.0,0.715,7.6,22
24373,43758,tt1543222,334122,Mondo Homo,Mondo Homo,fr,France,"lgbt, gay pornography","Documentaire,Histoire",2009,2009-01-01,110,0.0,0.0,1.963,8.5,19
24374,43768,tt15437986,1257409,The Shameless,The shameless,fr,"Bulgaria, France, Switzerland",,"Crime,Drame,Thriller",2024,,114,0.0,0.0,0.0,5.6,177
24375,43785,tt1544996,176402,A Normal Life. Chronicle of a Sumo Wrestler,Tu seras sumo,fr,"France, Japan","japan, sumo, woman director, cinéma vérité, observational cinema",Documentaire,2009,2013-03-13,83,0.0,0.0,1.128,7.1,87
24376,43796,tt1545322,139004,Sodium Babies,Sodium Babies,fr,,"schizophrenia, vampire, ghoul","Drame,Fantastique,Horreur",2009,2009-11-09,90,150000.0,0.0,1.238,5.0,287
24377,43800,tt1545677,65237,Les yeux de sa mère,Les yeux de sa mère,fr,"Belgium, France","biography, ballerina, balet",Drame,2011,2011-03-23,105,15000000.0,0.0,3.189,6.0,356
24378,43805,tt15459206,959596,Maldoror,Le Dossier Maldoror,fr,"Belgium, France",,"Crime,Drame,Thriller",2024,,155,0.0,0.0,1.09,7.1,507
24379,43806,tt15459334,871698,Un instant de bonheur,Un instant de bonheur,fr,France,,Comédie,2021,2021-09-16,52,0.0,0.0,0.6,7.1,136
24380,43809,tt15461262,892495,Tropique de la violence,Tropique de la Violence,fr,France,"coming of age, gang, mayotte","Crime,Drame,Thriller",2022,2022-03-23,92,0.0,0.0,1.737,5.9,114
24381,43826,tt15473248,873097,Poulet frites,Poulet frites,fr,"Belgium, France",,Documentaire,2021,2022-09-28,103,0.0,0.0,0.601,7.2,196
24382,43840,tt15484716,892494,En roue libre,En roue libre,fr,France,,"Comédie,Drame",2022,2022-06-29,89,3900000.0,0.0,24.573,6.3,663
24383,43843,tt1548603,52043,Le fils à Jo,Le fils à Jo,fr,France,"parent child relationship, rugby","Comédie,Drame",2011,2010-12-29,97,0.0,0.0,5.946,5.7,622
24384,43847,tt15488838,680071,Vanishing,Matin Calme,fr,France,,"Crime,Drame,Mystère,Thriller",2021,2022-03-30,88,0.0,0.0,6.963,5.2,565
24385,43856,tt15496566,876670,Les mots de la fin,Les mots de la fin,fr,Belgium,,Documentaire,2021,2021-10-03,54,0.0,0.0,0.6,8.4,33
24386,43857,tt15497988,861583,"Là, où le temps s'est arrêté","Là, où le temps s'est arrêté",fr,,,Documentaire,2021,2021-09-22,89,0.0,0.0,0.6,8.0,8
24387,43863,tt15502904,676586,Les voisins de mes voisins sont mes voisins,Les voisins de mes voisins sont mes voisins,fr,France,,"Animation,Comédie,Famille",2021,2022-02-02,93,0.0,0.0,2.186,5.8,39
24388,43883,tt15520396,805958,Ziyara,Ziyara,fr,,,"Documentaire,Histoire",2021,2021-12-01,99,0.0,0.0,0.6,7.8,12
24389,43893,tt15531718,920767,Le grand chariot,Le grand chariot,fr,"France, Switzerland",,"Drame,Famille",2023,2023-03-08,96,0.0,0.0,1.482,6.0,330
24390,43894,tt15532248,843733,Petite leçon d'amour,Petite leçon d'amour,fr,France,,"Comédie,Romance",2021,2022-05-04,86,0.0,0.0,3.157,5.5,165
24391,43912,tt1555084,99389,La terre outragée,La terre outragée,fr,"France, Ukraine, Poland, Germany",woman director,Drame,2011,2012-03-28,108,5000000.0,0.0,2.32,6.3,952
24392,43940,tt1556206,279705,Puisqu'on vous dit que c'est possible,Puisqu'on vous dit que c'est possible,fr,,,Documentaire,1973,1973-10-01,47,0.0,0.0,0.6,6.1,41
24393,43949,tt15568464,880563,"France, le fabuleux voyage","France, le fabuleux voyage",fr,France,,"Documentaire,Histoire",2021,2021-10-02,87,0.0,0.0,1.196,7.8,21
24394,43950,tt15568526,957770,Sage-homme,Sage homme,fr,France,"nurse, man woman relationship, human relationship, male nurse","Comédie,Drame",2023,2023-03-15,105,5180000.0,0.0,6.332,6.8,648
24395,43962,tt15583110,893525,Rendez-vous avec Diego,Rendez-vous avec Diego,fr,France,"high school, blind date, gay interest, lgbt, lgbt teen, online dating, high school crush, short film","Drame,Romance",2021,2021-11-26,53,0.0,0.0,0.6,7.4,99
24396,43963,tt1558741,45368,Comme les cinq doigts de la main,Comme les cinq doigts de la main,fr,France,,"Action,Crime,Drame",2010,2010-04-28,116,0.0,0.0,5.631,5.2,588
24397,43968,tt1559322,120918,Sommeil blanc,Sommeil blanc,fr,,,"Drame,Thriller",2009,2009-12-02,90,0.0,0.0,0.685,5.4,45
24398,43978,tt15607898,1002190,L'amour du monde,L'amour du monde,fr,Switzerland,,Drame,2023,2023-04-05,76,0.0,0.0,0.89,5.8,84
24399,44005,tt15651792,876603,"Spectre: Sanity, Madness & the Family","Spectre: Sanity, Madness & the Family",fr,France,,"Documentaire,Musique,Mystère",2021,2021-10-20,92,0.0,0.0,0.706,6.0,174
24400,44012,tt15655568,892683,La beauté du monde,La beauté du monde,fr,,,Drame,2021,2021-12-08,119,0.0,0.0,0.6,5.2,20
24401,44017,tt15658226,882306,Que Dieu te protège,Que Dieu te protège,fr,France,,Documentaire,2021,2021-10-26,77,0.0,0.0,0.6,6.1,10
24402,44020,tt15661352,882308,Paroles de nègres,Paroles de nègres,fr,France,,Documentaire,2021,2021-10-26,78,0.0,0.0,0.6,6.5,18
24403,44025,tt15665948,925100,Avant l'effondrement,Avant l'effondrement,fr,France,,"Comédie,Drame,Famille",2023,2023-04-19,100,2400000.0,0.0,4.179,5.1,104
24404,44028,tt1566948,57311,"Thelma, Louise et Chantal","Thelma, Louise et Chantal",fr,France,road trip,Comédie,2010,2010-03-03,90,0.0,0.0,2.117,5.5,217
24405,44038,tt15673482,882937,À la source de la tyrannie,A la source de la tyrannie,fr,France,,Documentaire,2021,2021-10-08,52,0.0,0.0,0.6,7.0,9
24406,44044,tt15676954,883870,Mon héroïne,Mon héroïne,fr,France,,"Biographie,Comédie",2022,2022-12-14,108,4100000.0,0.0,1.194,5.8,216
24407,44065,tt1568863,85025,Memory Lane,Memory Lane,fr,France,,Drame,2010,2010-11-24,98,0.0,0.0,1.426,6.1,173
24408,44066,tt1568866,237947,Montparnasse,Montparnasse,fr,France,,Drame,2009,2009-05-17,58,0.0,0.0,1.254,6.5,70
24409,44075,tt1569405,565420,Hiver (Les grands chats),Hiver (Les grands chats),fr,France,,,2008,2008-01-01,58,0.0,0.0,0.6,5.7,10
24410,44076,tt1569454,458871,Le plein pays,Le plein pays,fr,,,Documentaire,2009,2010-11-03,58,0.0,0.0,0.6,7.2,38
24411,44085,tt1570594,72678,Henry,Henry,fr,France,,"Comédie,Musique",2010,2010-03-31,84,0.0,0.0,3.504,5.4,61
24412,44092,tt15711402,888917,Les rois de l'arnaque,Les rois de l'arnaque,fr,France,,"Crime,Documentaire",2021,2021-11-03,105,0.0,0.0,3.876,6.3,879
24413,44100,tt15715614,937202,"La Grippe espagnole, la grande tueuse","La Grippe espagnole, la grande tueuse",fr,France,"bureaucracy, krieg, transporting boat, spanische grippe",Documentaire,2021,2021-09-29,52,0.0,0.0,0.645,7.3,107
24414,44120,tt15727638,883882,Nous sommes venus,Nous sommes venus,fr,France,,Documentaire,2021,2021-10-24,68,0.0,0.0,0.6,5.6,6
24415,44121,tt1572775,576209,La tête ailleurs,La tête ailleurs,fr,France,,Drame,2010,2010-12-08,85,0.0,0.0,0.6,7.0,33
24416,44125,tt15732372,950053,Le parfum vert,Le parfum vert,fr,France,"france, police, investigation, europe","Comédie,Crime,Mystère",2022,2022-12-21,101,7800000.0,0.0,5.275,5.4,818
24417,44131,tt15738560,883834,Les mots de Taj,Les mots de Taj,fr,,,Documentaire,2021,2021-11-24,118,0.0,0.0,0.6,7.0,6
24418,44132,tt15739130,892492,Les goûts et les couleurs,Les goûts et les couleurs,fr,France,,"Comédie,Musique,Romance",2022,2022-06-22,110,0.0,0.0,5.809,5.7,277
24419,44135,tt15740768,726888,Pulse,Pulse,fr,"Finland, France, Germany","rapper, lgbt, french hip-hop","Drame,Musique,Thriller",2022,2022-11-04,102,2434000.0,0.0,3.412,6.0,295
24420,44136,tt15740890,1280463,My Way,My Way,fr,France,,Documentaire,2024,,78,0.0,0.0,0.0,7.6,25
24421,44144,tt15750836,879343,Zeria,Zeria,fr,Belgium,,"Animation,Drame,Science-Fiction",2021,2021-10-12,61,0.0,0.0,0.6,5.9,37
24422,44156,tt1576443,473621,Hitler à Hollywood,Hitler à Hollywood,fr,"Belgium, France",mockumentary,"Comédie,Drame",2010,2011-05-04,85,0.0,0.0,1.052,5.8,201
24423,44161,tt1576686,52310,Filière 13,Filière 13,fr,Canada,,Comédie,2010,2010-08-04,112,0.0,0.0,1.982,5.6,361
24424,44169,tt15778100,793062,A.I. at War,A.I. at War,fr,,"artificial intelligence (a.i.), street riots, war zone",Documentaire,2021,2021-10-27,107,0.0,0.0,0.896,7.9,24
24425,44177,tt15783304,958635,Cet été-là,Cet été-là,fr,France,,"Comédie,Drame",2022,2023-01-04,99,7940000.0,0.0,3.038,5.5,242
24426,44185,tt15789074,944117,L'Abbé Pierre: Une vie de combats,L'Abbé Pierre - Une vie de combats,fr,France,,"Biographie,Drame,Histoire",2023,2023-11-08,137,17700000.0,0.0,2.229,6.5,656
24427,44209,tt15820298,892433,Angèle,Angèle,fr,"Belgium, France",music documentary,"Biographie,Documentaire,Musique",2021,2021-11-26,84,0.0,0.0,3.868,7.0,650
24428,44212,tt1582225,172271,Memories Corner,Memories Corner,fr,"Canada, France",,Drame,2011,2011-10-08,90,0.0,0.0,1.175,5.5,68
24429,44236,tt1583303,56424,Les invités de mon père,Les invités de mon père,fr,France,"undocumented immigrant, dirty old man, old age romance",Comédie,2010,2010-03-31,100,0.0,0.0,2.917,6.5,854
24430,44241,tt15834708,933100,Méduse,Méduse,fr,France,,"Drame,Romance",2022,2022-10-26,87,0.0,0.0,1.535,6.0,113
24431,44245,tt1583737,82817,Impardonnables,Terminus des anges,fr,France,"suspicion of adultery, paddling, wrongful suspicion",Drame,2011,2011-08-17,111,0.0,0.0,2.028,5.8,833
24432,44248,tt15838328,1072363,"Cléo, Melvil et moi","Cléo, Melvil et moi",fr,France,,"Comédie,Drame",2023,2023-07-05,73,0.0,0.0,1.138,6.6,32
24433,44253,tt1584048,192865,Jagdzeit - Den Walfängern auf der Spur,Mille baleines - Le combat de Greenpeace,fr,Germany,"japan, whale, greenpeace, baleines",Documentaire,2009,2010-01-14,88,0.0,0.0,0.6,6.7,27
24434,44254,tt1584108,576008,Rien à perdre,Rien à perdre,fr,,,Documentaire,2009,2010-01-20,78,0.0,0.0,0.6,5.8,10
24435,44264,tt1585572,60968,Misión en Mocland: Una aventura superespacial,Mission Mocland,fr,Spain,,"Animation,Aventure,Fantastique,Science-Fiction",2008,2008-10-16,84,0.0,0.0,0.652,5.0,50
24436,44277,tt1587811,44961,Mumu,Mumu,fr,France,,"Comédie,Drame",2010,2010-03-24,95,0.0,0.0,3.497,6.3,250
24437,44285,tt1588335,58253,"Toi, moi, les autres","Aux armes, etc.",fr,France,woman director,"Comédiemusicale,Musique,Romance",2010,2011-02-23,85,0.0,0.0,4.906,5.1,216
24438,44287,tt1588336,132568,Nénette,Nénette,fr,France,orangutan,Documentaire,2010,2010-03-31,70,0.0,0.0,0.6,6.6,254
24439,44291,tt1588350,576020,"Alice, ou les désirs","Alice, ou les désirs",fr,,,"Comédie,Drame",2010,2010-02-24,100,0.0,0.0,0.6,5.0,14
24440,44304,tt1589984,800431,"Bernard, ni dieu ni chaussettes","Bernard, ni dieu ni chaussettes",fr,France,,Documentaire,2010,2010-03-24,80,0.0,0.0,0.6,6.2,8
24441,44307,tt1590157,56174,Sans queue ni tête,Sans queue ni tête,fr,"France, Luxembourg, Belgium","woman director, anarchic comedy","Comédie,Drame",2010,2010-09-29,95,0.0,0.0,2.216,5.6,659
24442,44313,tt1591123,59582,Ça commence par la fin,Ça commence par la fin,fr,France,,"Drame,Romance",2010,2010-05-26,88,0.0,0.0,1.513,5.3,284
24443,44328,tt1593713,576204,La Chine est encore loin,La Chine est encore loin,fr,"Algeria, France",,Documentaire,2008,2010-04-28,120,0.0,0.0,0.6,6.8,22
24444,44329,tt1593721,76247,Les arrivants,Les arrivants,fr,,,"Documentaire,Drame,Romance",2009,2010-04-07,113,0.0,0.0,0.6,7.6,48
24445,44330,tt1593748,309833,"Moranbong, une aventure coréenne","Moranbong, une aventure coréenne",fr,"North Korea, France",,"Drame,Guerre",1960,1960-05-14,84,0.0,0.0,0.966,7.5,13
24446,44344,tt1595372,151835,Par amour,Par amour,fr,France,,Drame,2012,2013-01-01,115,0.0,0.0,0.6,6.2,18
24447,44362,tt1597525,1316451,C'est parti,C'est parti,fr,,,Documentaire,2010,,92,0.0,0.0,0.0,5.8,10
24448,44382,tt1600428,50158,No et moi,No et moi,fr,France,"depression, cafe, homeless girl, woman director",Drame,2010,2010-11-17,105,0.0,0.0,6.538,6.6,546
24449,44389,tt1600723,191387,Le temps de la kermesse est terminé,Le temps de la kermesse est terminé,fr,France,,Drame,2009,2010-03-17,100,0.0,0.0,0.827,6.1,32
24450,44390,tt1600731,53930,Solutions locales pour un désordre global,La Terre vue de la Terre,fr,France,woman director,Documentaire,2010,2010-04-07,113,0.0,0.0,2.45,7.5,340
24451,44395,tt1601880,326506,"Naica, la grotte aux cristaux géants",Naïca: La grotte aux cristaux géants,fr,"France, Italy",,Documentaire,2009,2009-10-11,82,0.0,0.0,0.6,7.5,13
24452,44436,tt16062876,1004840,Paris Rendez-vous,Swing Rendez-vous,fr,France,,"Comédie,Comédiemusicale,Musique,Romance",2022,2023-01-11,88,0.0,0.0,0.666,5.4,40
24453,44454,tt1608635,409253,Toscan,Toscan,fr,France,,Documentaire,2010,2010-12-01,87,0.0,0.0,0.6,7.3,24
24454,44458,tt16090596,724846,Conann,Conann,fr,"Belgium, France, Luxembourg",,"Action,Fantastique",2023,2023-11-08,105,0.0,0.0,5.652,5.9,759
24455,44461,tt1609158,79955,Sur le rythme,Dance on the Beat,fr,Canada,,"Drame,Musique,Romance",2011,2011-08-12,100,0.0,0.0,1.186,5.2,244
24456,44511,tt16160544,958855,Le dernier des Juifs,Le Dernier des Juifs,fr,France,,"Comédie,Drame",2024,2024-01-24,89,0.0,0.0,1.457,6.2,285
24457,44521,tt16163090,883821,Brother,Brother,fr,,,Documentaire,2021,2021-11-17,78,0.0,0.0,0.927,7.6,7
24458,44536,tt1619030,336917,"Jean Rollin, le rêveur égaré","Jean Rollin, le rêveur égaré",fr,France,,"Biographie,Documentaire",2011,2011-09-20,78,0.0,0.0,1.153,7.1,30
24459,44537,tt1619032,471033,Les neiges de Grenoble,Les neiges de Grenoble,fr,France,"sports, competition, olympic games, winter games, french alps, skiing, grenoble","Documentaire,Sport",1968,1968-12-27,97,0.0,0.0,0.841,6.4,53
24460,44545,tt1620718,341929,Crossdresser,Crossdresser,fr,France,,Documentaire,2009,2010-03-24,80,0.0,0.0,0.921,6.7,32
24461,44546,tt1620847,411366,La vie lointaine,La vie lointaine,fr,France,,Drame,2009,2009-04-04,56,0.0,0.0,0.617,6.8,29
24462,44547,tt1620848,836320,La voie de l'encre,La voie de l'encre,fr,"France, Japan","tattoo, tattoo artist, irezumi, japanese tattooing","Documentaire,Histoire",2011,2011-08-27,70,0.0,0.0,0.6,6.9,11
24463,44551,tt1620966,1130354,Solférino,Solférino,fr,France,,Documentaire,2009,2009-05-01,56,0.0,0.0,0.6,6.2,15
24464,44561,tt1621766,137695,Couleur de peau: Miel,Couleur de peau: Miel,fr,"South Korea, Belgium, France, Switzerland",,"Animation,Biographie,Documentaire,Drame,Famille",2012,2012-06-06,70,0.0,0.0,2.638,7.3,636
24465,44565,tt1622555,77355,Les aventures de Captain Brackmard et la Bite de Cristal,Les aventures de Captain Brackmard et la Bite de Cristal,fr,,,Comédie,2010,2010-01-30,66,0.0,0.0,0.6,7.1,20
24466,44571,tt16227608,903964,Disparaître - Sous les radars des algorithmes,"Disparaître, À la recherche d'une vie privée en ligne",fr,France,,"Documentaire,Téléfilm",2021,2021-11-23,52,0.0,0.0,0.6,7.0,28
24467,44580,tt16235682,850064,Au revoir le bonheur,Au revoir le bonheur,fr,Canada,"family conflict, childhood","Comédie,Drame",2021,2021-12-17,107,0.0,0.0,1.701,6.2,297
24468,44586,tt16239932,873880,En nous,En nous,fr,France,,Documentaire,2022,2022-03-23,99,0.0,0.0,1.204,5.9,16
24469,44589,tt16244318,924150,Petit Ami Parfait,Petit Ami Parfait,fr,France,,"Documentaire,Drame",2021,2021-09-15,88,0.0,0.0,0.705,5.6,28
24470,44593,tt16248144,893364,Belle et Sébastien: Nouvelle génération,Belle et Sébastien: nouvelle génération,fr,France,"mountain, human animal relationship, boy and dog, animal human friendship","Action,Aventure,Drame,Famille",2022,2022-10-19,96,0.0,0.0,4.505,5.8,475
24471,44594,tt1625136,527521,Des ombres dans la maison,Des ombres dans la maison,fr,France,,Documentaire,2010,2010-04-24,36,0.0,0.0,0.6,5.0,26
24472,44607,tt16280404,903643,Hold on - Primum Nocere,Hold on - Primum Nocere,fr,France,"vaccine, vaccination, covid-19",Documentaire,2021,2021-11-23,150,0.0,0.0,0.6,5.2,26
24473,44612,tt16282992,822761,En formation,En formation,fr,France,journalisme,Documentaire,2021,2021-12-01,74,0.0,0.0,0.6,6.5,7
24474,44617,tt1629251,83052,Des filles en noir,Des filles en noir,fr,France,,Drame,2010,2010-11-03,85,0.0,0.0,2.169,6.1,220
24475,44639,tt1630245,433123,Les insomniaques,Les insomniaques,fr,France,,"Drame,Thriller",2011,2011-03-30,90,0.0,0.0,0.667,5.8,25
24476,44647,tt16306342,846977,Les têtes givrées,Les têtes givrées,fr,"Belgium, France",,"Comédie,Drame",2022,2023-02-08,102,0.0,0.0,3.402,5.9,175
24477,44664,tt1633217,446130,La mélodie,La mélodie,fr,France,,"Comédie,Drame,Musique",2017,2017-11-08,102,0.0,0.0,4.644,6.5,857
24478,44675,tt1634334,54155,Les mains en l'air,Les mains en l'air,fr,,,"Comédie,Drame,Romance",2010,2010-07-06,90,0.0,0.0,1.36,6.2,331
24479,44679,tt16350250,928242,La légende de Thierry Mauvignier,La légende de Thierry Mauvignier,fr,,cinema history,Documentaire,2021,2021-12-19,\N,9000.0,0.0,0.6,7.7,189
24480,44680,tt16356522,912953,Genocidium,Genocidium,fr,France,,"Drame,Horreur,Thriller",2022,2022-03-23,70,0.0,0.0,1.197,5.8,24
24481,44683,tt1636727,491392,Amélie au pays des Bodin's,Amélie au pays des Bodin's,fr,France,,Comédie,2010,2010-04-05,80,0.0,0.0,0.79,5.1,59
24482,44684,tt1636758,229035,Des rêves pour l'hiver,Des rêves pour l'hiver,fr,France,,Drame,2010,2010-03-05,58,0.0,0.0,0.6,6.4,21
24483,44691,tt16369736,913394,The French Boys 2,The French Boys 2,fr,United States of America,"gay interest, lgbt, short compilation",Drame,2021,2021-12-03,92,0.0,0.0,0.6,7.2,21
24484,44694,tt16374466,936585,À demain mon amour,A demain mon amour,fr,,"social injustice, social documentary, anti-capitalism, political documentary, fight against the rich, documentary, fighting the system",Documentaire,2021,2022-03-09,92,0.0,0.0,0.6,7.5,31
24485,44699,tt1637660,129430,Inheritance,Héritage,fr,"France, Israel","woman director, interfaith love",Drame,2012,2012-12-12,88,0.0,0.0,1.968,6.1,157
24486,44706,tt16377414,915439,Sans toi,Sans toi,fr,France,,"Drame,Romance",2021,2022-01-12,76,0.0,0.0,1.525,7.4,9
24487,44718,tt1638277,177117,Mars et Avril,Mars et Avril,fr,Canada,,"Drame,Fantastique,Science-Fiction",2012,2012-10-05,90,0.0,0.0,1.84,5.8,890
24488,44733,tt1640144,77696,Le masque de la Méduse,Le masque de la Méduse,fr,France,,"Fantastique,Horreur,Mystère",2009,2009-11-19,75,150000.0,0.0,1.396,5.1,136
24489,44763,tt16425052,953593,Écolières très polissonnes,"Ariane, ma soeur",fr,France,,,1981,1981-02-18,77,0.0,0.0,0.6,5.7,14
24490,44768,tt1642622,306503,La femme bourreau,La femme bourreau,fr,France,,"Crime,Drame,Mystère,Thriller",1968,1968-05-01,70,0.0,0.0,1.421,6.1,208
24491,44785,tt16433548,752481,Ali au pays des merveilles,Ali au pays des merveilles,fr,France,,Documentaire,1975,1975-01-01,59,0.0,0.0,0.6,6.7,107
24492,44788,tt16436894,916440,"Nous, étudiants!","Nous, étudiants!",fr,"Central African Republic, Congo, France",university,Documentaire,2022,2022-02-16,82,0.0,0.0,0.6,6.4,59
