,Unnamed: 0,nconst,Nom,birthYear,deathYear,commeRealisateur,commeActeur
41258,41258,nm1603397,Michael Goetz,\N,\N,tt2012011,pas_de_film
41259,41259,nm2058108,Christina Alexandra Voros,\N,\N,tt2017634,pas_de_film
41260,41260,nm2227980,Anthony Scott Burns,\N,\N,"tt2018069,tt4419364,tt7026488",pas_de_film
41261,41261,nm0284759,Patricia Font,1978,\N,"tt20198716,tt6869362",pas_de_film
41262,41262,nm3296976,Juan Galiñanes,1980,\N,tt20215670,pas_de_film
41263,41263,nm3043504,Kristina Buozyte,1982,\N,tt20225374,pas_de_film
41264,41264,nm3042028,Bruno Samper,\N,\N,tt20225374,pas_de_film
41265,41265,nm4824763,Thea Sharrock,\N,\N,"tt20234774,tt2674426,tt3661394,tt5113010",pas_de_film
41266,41266,nm0185063,James Cox,1975,\N,"tt2024506,tt5179598",pas_de_film
41267,41267,nm2502457,Kei Ishikawa,1977,\N,tt20251822,pas_de_film
41268,41268,nm0585452,Paul Middleditch,\N,\N,tt20255028,pas_de_film
41269,41269,nm4025545,Hamish Bennett,\N,\N,tt20255028,pas_de_film
41270,41270,nm3482943,Kim Han-min,1969,\N,"tt2025526,tt21109538,tt3541262",pas_de_film
41271,41271,nm1721001,Justin Folk,\N,\N,tt20256528,pas_de_film
41272,41272,nm9219306,Candace Owens,1989,\N,tt20256556,pas_de_film
41273,41273,nm1887247,Ali Zamani,\N,\N,tt20258220,pas_de_film
41274,41274,nm0112253,Stanley M. Brooks,\N,\N,tt2027231,pas_de_film
41275,41275,nm0299050,David Furnish,1962,\N,tt20316978,pas_de_film
41276,41276,nm0955443,Yimou Zhang,1951,\N,tt2034800,pas_de_film
41277,41277,nm1488618,Alice Troughton,\N,\N,tt20358284,pas_de_film
41278,41278,nm3113346,Andrea Segre,1976,\N,tt2036388,pas_de_film
41279,41279,nm0649117,Niels Arden Oplev,1961,\N,"tt2039338,tt2101341",pas_de_film
41280,41280,nm1130275,Nicholas McCarthy,\N,\N,"tt2040560,tt4419364",pas_de_film
41281,41281,nm0374657,Volker Heise,\N,\N,tt20420316,pas_de_film
41282,41282,nm8315990,Nicholas Maggio,\N,\N,tt20424130,pas_de_film
41283,41283,nm0004033,Diego Quemada-Diez,\N,\N,tt2042583,pas_de_film
41284,41284,nm3332970,Mathieu Turi,\N,\N,"tt20452218,tt5085522,tt5752192",pas_de_film
41285,41285,nm0868441,Jorge Torregrossa,1973,\N,tt2046090,pas_de_film
41286,41286,nm1416352,Richie Mehta,\N,\N,tt2048770,pas_de_film
41287,41287,nm0101741,David Boyd,\N,\N,tt2051894,pas_de_film
41288,41288,nm0220774,Arnaud des Pallières,1961,\N,"tt2054790,tt4746516,tt0276929,tt0382520,tt13482796,tt17309428",pas_de_film
41289,41289,nm0957197,Craig Zisk,1965,\N,tt2055765,pas_de_film
41290,41290,nm0408153,Markus Imboden,1955,\N,tt2057931,pas_de_film
41291,41291,nm0648464,Takahiro Ômori,\N,\N,tt2061702,pas_de_film
41292,41292,nm4678690,Perry Bhandal,\N,\N,tt2061712,pas_de_film
41293,41293,nm2871592,Peter Glanz,1983,\N,tt2064968,pas_de_film
41294,41294,nm3611504,Diego Hallivis,\N,\N,tt20672490,pas_de_film
41295,41295,nm4866109,Yûsuke Ishida,1977,\N,tt20672534,pas_de_film
41296,41296,nm1375363,Hwang Dong-hyuk,1971,\N,"tt2070649,tt7160176",pas_de_film
41297,41297,nm0091579,Timothy Scott Bogart,\N,\N,tt2071590,pas_de_film
41298,41298,nm9433167,Luna Carmoon,\N,\N,tt20729172,pas_de_film
41299,41299,nm0920017,Peter Wellington,\N,\N,tt2072933,pas_de_film
41300,41300,nm0506518,Lorraine Lévy,1964,\N,"tt2073016,tt6515342,tt0388351,tt0827192",pas_de_film
41301,41301,nm1128830,Matthew Akers,\N,\N,tt2073029,pas_de_film
41302,41302,nm2250139,Bill Holderman,\N,\N,"tt20768712,tt6857166",pas_de_film
41303,41303,nm0125524,Jason Buxton,\N,\N,tt2077721,pas_de_film
41304,41304,nm1358030,Jean-Christophe Lie,\N,\N,tt2077908,pas_de_film
41305,41305,nm1618225,Peter A. Dowling,\N,\N,tt2078718,pas_de_film
41306,41306,nm0100522,Laurent Bouzereau,\N,\N,"tt2079571,tt26420234,tt31510396",pas_de_film
41307,41307,nm2244239,Craig Viveiros,\N,\N,tt2081437,pas_de_film
41308,41308,nm2151556,Yoon Jong-bin,1979,\N,"tt2082221,tt2972482,tt8290698",pas_de_film
41309,41309,nm0083015,Thierry Binisti,\N,\N,"tt2082496,tt0339482,tt27416499",pas_de_film
41310,41310,nm1730895,Cullen Hoback,\N,\N,tt2084953,pas_de_film
41311,41311,nm1016096,Steven Foster,\N,\N,"tt2085930,tt3638012",pas_de_film
41312,41312,nm6135474,Franklin Ritch,\N,\N,tt20859464,pas_de_film
41313,41313,nm2114842,Kevin Peeples,\N,\N,tt20864704,pas_de_film
