,nconst,Action,Actualités,Animation,Aventure,Biographie,Comédie,Comédiemusicale,Crime,Documentaire,Drame,Famille,Fantastique,Guerre,Histoire,Horreur,Musique,Mystère,Romance,Science-Fiction,Sport,Thriller,Téléfilm,Western,nb_films,anneeSortie,nbVotes
1485,nm0122987,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023.0,44471.0
1486,nm0123009,1,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,1,0,2,0,0,4,1990.0,7540.0
1487,nm0123236,2,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,1,0,1,2,1990.0,3085.0
1488,nm0123353,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2017.0,2702.0
1489,nm0123364,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1981.0,2916.0
1490,nm0123379,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2006.0,34257.0
1491,nm0123666,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2015.0,44847.0
1492,nm0123931,0,0,0,2,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,2,2015.0,1418.0
1493,nm0124112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,2007.0,22161.0
1494,nm0124236,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1961.0,1251.0
1495,nm0124834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2004.0,7126.0
1496,nm0124900,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,2021.0,2485.0
1497,nm0124950,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1973.0,20.0
1498,nm0125111,3,0,0,0,0,5,0,2,0,2,4,0,0,0,0,0,0,0,2,0,1,0,1,7,1979.0,4352.0
1499,nm0125186,0,0,2,1,0,1,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,2,1994.0,45679.0
1500,nm0125270,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2021.0,7944.0
1501,nm0125336,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2001.0,26680.0
1502,nm0125367,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,1,0,0,0,0,0,3,1991.0,3681.0
1503,nm0125524,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012.0,1763.0
1504,nm0125664,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1988.0,374.0
1505,nm0125665,0,0,0,0,0,1,0,0,0,3,0,3,0,0,2,0,0,0,0,0,0,0,0,3,1974.0,457.0
1506,nm0125753,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2000.0,14897.0
1507,nm0125803,1,0,1,1,0,13,0,0,0,3,2,2,0,0,0,0,0,5,0,2,0,0,0,13,2007.0,110994.0
1508,nm0126096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2013.0,156697.0
1509,nm0126440,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1980.0,4345.0
1510,nm0126492,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2018.0,1392.0
1511,nm0126752,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1994.0,74.0
1512,nm0126756,3,0,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,1,0,0,2,0,1,5,1989.0,473.0
1513,nm0126802,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016.0,548.0
1514,nm0126849,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1991.0,202.0
1515,nm0126864,1,0,0,0,0,0,0,5,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,9,1970.0,91.0
1516,nm0126878,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,4,1996.0,251.0
1517,nm0126898,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1982.0,139.0
1518,nm0126934,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000.0,101.0
1519,nm0127635,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1967.0,22.0
1520,nm0127804,0,0,0,1,0,1,0,1,3,5,0,0,0,0,0,0,0,1,0,0,0,0,0,8,2000.0,126.0
1521,nm0127882,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1993.0,2918.0
1522,nm0127894,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2018.0,21689.0
1523,nm0128050,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1971.0,1778.0
1524,nm0128225,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,2000.0,23134.0
1525,nm0128294,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2011.0,162.0
1526,nm0128301,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2018.0,41.0
1527,nm0128382,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2004.0,3158.0
1528,nm0128452,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1998.0,2214.0
1529,nm0128621,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1997.0,19.0
1530,nm0128687,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2007.0,23900.0
1531,nm0128764,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,1,0,1,3,1970.0,1723.0
1532,nm0128804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1996.0,7.0
1533,nm0128883,2,0,0,3,0,0,0,3,0,5,1,0,0,0,0,1,0,1,0,0,0,0,1,5,1989.0,19070.0
1534,nm0129526,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1965.0,10.0
1535,nm0129830,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1965.0,69.0
1536,nm0129997,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015.0,5256.0
1537,nm0130389,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2001.0,9.0
1538,nm0130714,5,0,0,4,0,1,0,6,0,6,0,1,0,0,0,0,1,0,0,0,7,0,0,8,2019.0,4631.0
1539,nm0130991,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020.0,5591.0
1540,nm0131064,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2023.0,1761.0
1541,nm0131162,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2007.0,82.0
1542,nm0131182,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1997.0,208.0
1543,nm0131708,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1984.0,3043.0
1544,nm0131837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,2022.0,1490.0
1545,nm0131840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1988.0,1819.0
