,nconst
2013,nm0778792
2020,nm0001369
2021,nm0000013
2022,nm0709704
2023,nm0010944
2030,nm0770730
2031,nm0926183
2032,nm0001768
2033,nm0207219
2040,nm0828676
2041,nm0002554
2042,nm0907557
2043,nm0172055
2051,nm0001637
2052,nm0000314
2053,nm0401434
2054,nm3497822
2061,nm0000022
2062,nm0000054
2063,nm0001050
2064,nm0728812
2071,nm0756998
2072,nm0463590
2073,nm0434593
2074,nm0411769
2081,nm0751983
2082,nm0447913
2083,nm0667901
2084,nm0433150
2091,nm0185954
2092,nm0339343
2093,nm0130286
2094,nm0581282
2100,nm0000011
2101,nm0000039
2102,nm0692439
2103,nm0162283
2110,nm0000454
2111,nm0493275
2112,nm0611351
2113,nm0026035
2120,nm0619938
2121,nm0033171
2122,nm0620241
2123,nm0442955
2130,nm0001792
2131,nm0314867
2132,nm0314867
2133,nm0641729
2148,nm0000010
2149,nm0001976
2150,nm0863016
2151,nm0290086
2158,nm0000008
2159,nm0001500
2160,nm0671186
2161,nm0432827
2168,nm0000348
2169,nm0002082
2170,nm0906966
2171,nm0071636
2178,nm0001539
2179,nm0001539
2180,nm0000058
2181,nm0001417
2189,nm0001055
2190,nm0001148
2191,nm0001500
2192,nm0415591
2199,nm0001637
2200,nm0001637
2201,nm0824489
2202,nm0449734
2210,nm0144107
2211,nm0007023
2212,nm0704256
2213,nm0018872
2220,nm0001229
2221,nm0000012
2222,nm0486136
2223,nm0640023
2230,nm0001559
2231,nm0768334
2232,nm0483876
2233,nm0607558
2240,nm0659745
2241,nm0221955
2242,nm9822849
2243,nm9822850
2248,nm0300064
2249,nm0088396
2250,nm0269197
2251,nm0190595
2258,nm0001627
2259,nm0573871
2260,nm0002039
2261,nm0762305
2268,nm0528595
2269,nm0001996
2270,nm0662223
2271,nm0000802
2277,nm0000046
2278,nm0000886
2279,nm0114982
2280,nm0001762
2287,nm0938231
2288,nm0709951
2289,nm0953414
2290,nm0013790
2297,nm0603682
2298,nm0791176
2299,nm0524308
2300,nm0413528
2307,nm0004647
2308,nm0576127
2309,nm0242972
2310,nm0822958
2317,nm0000081
2318,nm0000886
2319,nm0385757
2320,nm0160287
2327,nm0002131
2328,nm0656183
2329,nm0001549
2330,nm0580916
2337,nm0001782
2338,nm0002897
2339,nm0507708
2340,nm0000489
2347,nm0878240
2348,nm0116932
2349,nm0827137
2350,nm0578527
2357,nm0000489
2358,nm0598289
2359,nm0867555
2360,nm0537962
2367,nm0095524
2368,nm0001313
2369,nm0666087
2370,nm0640023
2377,nm0847922
2378,nm0933447
2379,nm2169358
2380,nm1991347
2387,nm0201239
2388,nm0001771
2389,nm0150329
2390,nm0219528
2397,nm0000018
2398,nm0754149
2399,nm0442304
2400,nm0550855
2407,nm0000071
2408,nm0001847
2409,nm0429250
2410,nm0188050
2417,nm0731772
2418,nm0233828
2419,nm0443000
2420,nm0239532
2427,nm0439344
2428,nm0108400
2429,nm0000901
2430,nm0040933
2437,nm0001958
2438,nm0843401
2439,nm0696866
2440,nm0629458
2447,nm0000003
2448,nm0000052
2449,nm0060661
2450,nm0761525
2457,nm0683831
2458,nm0704719
2459,nm0721073
2460,nm0130952
2467,nm0814773
2468,nm0557159
2469,nm0264770
2470,nm0901683
2477,nm0682074
2478,nm0000021
2479,nm0001174
2480,nm0000048
2487,nm0000081
2488,nm0001995
2489,nm0000937
2490,nm0848560
2497,nm0000869
2498,nm0496866
2499,nm0001539
2500,nm0083424
2507,nm0000062
2508,nm0486136
2509,nm0001839
2510,nm0674012
2517,nm0001536
2518,nm0001536
2519,nm0867391
2520,nm0619938
2528,nm0000044
2529,nm0581277
2530,nm0028647
2531,nm0622263
2538,nm0250724
2539,nm0724732
2540,nm0000832
2541,nm0168627
2548,nm0867144
2549,nm0000817
2550,nm0000020
2551,nm0682074
2558,nm0645422
2559,nm0619227
2560,nm0945522
2561,nm0881303
2568,nm0001693
2569,nm0000886
2570,nm0001500
2571,nm0001450
2578,nm0529543
2579,nm0685494
2580,nm0041756
2581,nm0890248
2587,nm0007023
2588,nm0144107
2589,nm0602615
2590,nm0521054
2597,nm0000063
2598,nm0542146
2599,nm0447913
2600,nm0432827
2607,nm0752813
2608,nm0001811
2609,nm0002048
2610,nm0737121
2617,nm0000013
2618,nm0002051
2619,nm0000963
2620,nm0713106
2627,nm0000044
2628,nm0001500
2629,nm0728812
2630,nm0104507
2637,nm0001179
2638,nm0000047
2639,nm0002769
2640,nm0813082
2647,nm0001571
2648,nm0001258
2649,nm0709704
2650,nm0003318
2657,nm0424318
2658,nm0641397
2659,nm0641397
2660,nm0202501
2668,nm0000060
2669,nm0000053
2670,nm0000917
2671,nm0552700
2678,nm0144045
2679,nm0144045
2680,nm0105475
2681,nm0105475
2691,nm0385010
2692,nm0270766
2693,nm0074367
2694,nm0255156
2701,nm0416228
2702,nm0931054
2703,nm0175427
2704,nm0292187
2711,nm0000901
2712,nm0001012
2713,nm0353916
2714,nm0197950
2721,nm0956544
2722,nm0001859
2723,nm0000404
2724,nm0001954
2731,nm0443232
2732,nm0406711
2733,nm0001536
2734,nm0586227
2741,nm0545378
2742,nm0100171
2743,nm0205815
2744,nm0087491
2751,nm0749568
2752,nm0211246
2753,nm0162012
2754,nm0499361
2761,nm0000034
2762,nm0658339
2763,nm0341518
2764,nm0705384
2771,nm0000027
2772,nm0001958
2773,nm0219062
2774,nm0830740
2781,nm0001158
2782,nm0546755
2783,nm0196247
2784,nm0666332
2791,nm0444476
2792,nm0561072
2793,nm0779285
2794,nm0601476
2801,nm0000493
2802,nm0001665
2803,nm0001948
2804,nm0001430
2811,nm0036734
2812,nm0002198
2813,nm0108400
2814,nm0201638
2823,nm0000032
2824,nm0590796
2825,nm0001995
2826,nm0638395
2833,nm0473228
2834,nm0183671
2835,nm0333143
2836,nm0333143
2844,nm0000052
2845,nm0733598
2846,nm0762248
2847,nm0872689
2854,nm0000125
2855,nm0000266
2856,nm0496866
2857,nm0936476
2864,nm0001229
2865,nm0001665
2866,nm0694619
2867,nm0690880
2874,nm0134846
2875,nm0127904
2876,nm0000999
2877,nm0003104
2878,nm0001174
2879,nm0362567
2887,nm0000062
2888,nm0640023
2889,nm0375606
2890,nm0601369
2897,nm0001050
2898,nm0948772
2899,nm0662972
2900,nm0463435
2907,nm0297293
2908,nm0343874
2909,nm0282281
2910,nm0001428
2917,nm0300064
2918,nm0732877
2919,nm0898004
2920,nm0498876
2927,nm0168035
2928,nm0222453
2929,nm0176754
2930,nm0799108
2937,nm0001276
2938,nm0441251
2939,nm0234264
2940,nm0498876
2947,nm0000062
2948,nm0001771
2949,nm0805177
2950,nm0329507
2957,nm0894677
2958,nm0188051
2959,nm0884946
2960,nm0521224
2968,nm0751426
2969,nm0000081
2970,nm0001500
2971,nm0908813
2978,nm0652961
2979,nm0867401
2980,nm0849062
2981,nm0394699
2983,nm0525566
2984,nm0367582
2985,nm0633422
2986,nm0652920
2993,nm0619938
2994,nm0410968
2995,nm0412615
2996,nm0848533
3003,nm0000078
3004,nm0553349
3005,nm0553349
3006,nm0473228
3014,nm0000537
3015,nm0201239
3016,nm0662240
3017,nm0345340
3024,nm0000071
3025,nm0000078
3026,nm0000060
3027,nm0000020
3034,nm0000364
3035,nm0201239
3036,nm0696163
3037,nm0526184
3045,nm0001539
3046,nm0002001
3047,nm0001695
3048,nm0405035
3055,nm0001471
3056,nm0639613
3057,nm0779923
3058,nm0922967
3065,nm0558663
3066,nm0580603
3067,nm0857147
3068,nm0121900
3076,nm0912487
3077,nm0507708
3078,nm0232574
3079,nm0328982
3086,nm0000062
3087,nm0949574
3088,nm0017030
3089,nm0085751
3096,nm0000869
3097,nm0728587
3098,nm0386331
3099,nm0658131
3106,nm0847396
3107,nm0756292
3108,nm0297741
3109,nm0445276
3116,nm0006807
3117,nm0201638
3118,nm0460651
3119,nm0460651
3127,nm0771268
3128,nm0049306
3129,nm0771267
3130,nm0097625
3137,nm0000564
3138,nm0000027
3139,nm0000063
3140,nm0370144
3147,nm0000014
3148,nm0001313
3149,nm0590796
3150,nm0106387
3157,nm0000051
3158,nm0001859
3159,nm0528987
3160,nm0168324
3167,nm0714878
3168,nm0183822
3169,nm0120517
3170,nm0566680
3177,nm0000018
3178,nm0001687
3179,nm0000527
3180,nm0437395
3187,nm0000031
3188,nm0724732
3189,nm0001673
3190,nm0001777
3192,nm0000078
3193,nm0752813
3194,nm0000009
3195,nm0000020
3202,nm0814773
3203,nm0071034
3204,nm0176342
3205,nm0040962
3212,nm0536167
3213,nm0307909
3214,nm0162948
3215,nm0181122
3222,nm0000071
3223,nm0000078
3224,nm0587256
3225,nm0001511
3232,nm0000069
3233,nm0002131
3234,nm0001463
3235,nm0001450
3242,nm0558663
3243,nm0336842
3244,nm0396819
3245,nm0112791
3252,nm0001996
3253,nm0362249
3254,nm0114422
3255,nm0240887
3262,nm0000843
3263,nm0001157
3264,nm0430460
3265,nm0842421
3272,nm0000071
3273,nm0000058
3274,nm0003104
3275,nm0676555
3282,nm0696481
3283,nm0429250
3284,nm0004983
3285,nm0320006
3292,nm0000008
3293,nm0002145
3294,nm0001321
3295,nm0341518
3302,nm0000511
3303,nm0000511
3304,nm0598971
3305,nm0000064
3313,nm0001088
3314,nm0738635
3315,nm0019996
3316,nm0001657
3323,nm0943936
3324,nm0086268
3325,nm0426764
3326,nm0629458
3333,nm0416228
3334,nm0175427
3335,nm0247881
3336,nm0696866
3344,nm0001571
3345,nm0000493
3346,nm0000001
3347,nm0420383
3354,nm0153493
3355,nm0000804
3356,nm0721195
3357,nm0878542
3364,nm0000634
3365,nm0955195
3366,nm0556458
3367,nm0341558
3374,nm0824489
3375,nm0281866
3376,nm0870995
3377,nm0895713
3384,nm0407411
3385,nm0434553
3386,nm1148757
3387,nm0837534
3394,nm0001537
3395,nm0353405
3396,nm0000811
3397,nm0593079
3404,nm0001958
3405,nm0675413
3406,nm0528224
3407,nm0830740
3414,nm0290047
3415,nm0000404
3416,nm0001380
3417,nm0626728
3424,nm0580479
3425,nm0000578
3426,nm0885203
3427,nm0258716
3434,nm0007042
3435,nm0007042
3436,nm0780765
3437,nm0211767
3445,nm0558663
3446,nm0179148
3447,nm0000489
3448,nm0036170
3455,nm0001537
3456,nm0183764
3457,nm0628647
3458,nm0029456
3464,nm0001627
3465,nm0201239
3466,nm0000393
3467,nm0717203
3474,nm0039967
3475,nm0039967
3476,nm0054672
3477,nm0585600
3489,nm0053282
3490,nm0069319
3491,nm0080659
3492,nm1907575
3499,nm0000063
3500,nm0001276
3501,nm0001682
3502,nm0364915
3509,nm0566948
3510,nm0000068
3511,nm0366866
3512,nm0823594
3519,nm0001078
3520,nm0001362
3521,nm0001058
3522,nm0605923
3529,nm0001148
3530,nm0687189
3531,nm0106387
3532,nm0001141
3539,nm0001536
3540,nm0001536
3541,nm0619938
3542,nm0462013
3550,nm0753479
3551,nm0412615
3552,nm0755401
3553,nm0645422
3560,nm0108523
3561,nm0000851
3562,nm0007042
3563,nm0313443
3570,nm0000069
3571,nm0001509
3572,nm0002035
3573,nm0492444
3580,nm0000489
3581,nm0814355
